page_name,page_id,feed__data__created_time,feed__data__message,feed__data__id,feed__data__shares__count,feed_data_likes,feed_data_comments
Airbnb,324826532457,2018-04-04T12:50:53+0000,"when you book on airbnb they take the money from your account the very next second after reservation ...when the host cancels the reservation they let you know that you will be able to get your money back within 15 days. My question is: since if you cancel your reservation you are charged, shouldn't they be charged if they do not send your money right away? I am very, very disappointed",324826532457_10156360488662458,16,11,10
Airbnb,324826532457,2018-04-04T11:43:00+0000,"Sesimbra, Setúbal , Portugal\nSesimbra land of mountains, sky and sea",324826532457_10156360337327458,265,553,998
Airbnb,324826532457,2018-04-04T09:05:30+0000,"Please will Airbnb get in touch with me ASAP regarding this disgusting discrimination. This profile and listing breeches your rules and regulations.",324826532457_10156360115627458,362,353,218
Airbnb,324826532457,2018-04-04T07:41:44+0000,"Hi, I received email from airbnb that my email has been changed my someone from China without my authorization and now I can't log in to my account on airbnb anymore because it says that my email account doesn't exist anymore. What can I do?????",324826532457_10156360010032458,9,0,12
Airbnb,324826532457,2018-04-04T06:36:40+0000,"Special Offer for our Customers of Korea:\n\n",324826532457_10156359932837458,21,59,56
Airbnb,324826532457,2018-04-04T02:51:00+0000,"I want to register my property Casa Sarmiento Travelers Inn",324826532457_10156359653247458,41,20,11
Airbnb,324826532457,2018-04-04T02:21:57+0000,"I had a host cancel on me 20 days prior to the trip we'd planned for months! Finding a suitable replacement was impossible on such short notice and neither the host nor Airbnb tried to help. There are no words to describe my disappointment, WILL NEVER USE THIS SERVICE AGAIN! And a pathetic $200 credit (that expires in a month!) was not nearly enough compensation.",324826532457_10156359590142458,36,22,194
Airbnb,324826532457,2018-04-03T21:17:48+0000,"Airbnb, just got off the phone with a customer experience representative. They confirmed for me that my case has not been assigned yet to a senior case manager as you said. Again, more deceit, more lies. Can I have my full refund now?",324826532457_10156359110887458,24,22,12
Airbnb,324826532457,2018-04-03T21:13:00+0000,"Worst customer service ever",324826532457_10156359101687458,17,92,253
Airbnb,324826532457,2018-04-03T21:12:54+0000,"Worst customer service ever",324826532457_10156359101532458,20,90,99
Airbnb,324826532457,2018-04-03T21:12:47+0000,"Worst customer service ever",324826532457_10156359101337458,14,81,25
Airbnb,324826532457,2018-04-03T21:03:35+0000,"OLÁ AINDA TENHO IRREGULARIDADE COM MEU APLICATIVO. Ele volta sempre pra viajante en vez de anfitrião.\nComo posso mudar por favor?",324826532457_10156359084657458,56,98,7
Airbnb,324826532457,2018-04-03T20:58:06+0000,"This is the worst customer service I have ever experienced. I have contacted Airbnb several times and no one will help me with my issue. You clearly do not care about the customer at all!",324826532457_10156359074757458,19,181,1311
Airbnb,324826532457,2018-04-03T20:08:14+0000,"I stayed at the most mis-leading airbnb in venice beach last week. Reached out to customer service multiple times via phone and email with no satisfactory resolution. Such a bummer that such an incredible company can't get their customer service together.",324826532457_10156358944732458,105,54,253
Airbnb,324826532457,2018-04-03T18:58:04+0000,"Airbnb, you said I would get a 50% refund if I ended my chargeback. I ended it and you told me that offer had expired. Since then I have had to publicly shame you to reopen my ticket. I think you should refund me 100% of my purchase for the sneaky and deceitful practices. Also, you told me you were available 24-7 by DM. You haven't responded in 24 hours and I still haven't heard from my case manager.",324826532457_10156358754147458,22,343,7
